timestamp,message
2026-08-01T14:27:19Z,[Zeabur] Pod/service-6a65ce52eca34b6c86efd852-57466694dc-sxfrq - BackOff: Back-off restarting failed container srv-1docai-ai in pod service-6a65ce52eca34b6c86efd852-57466694dc-sxfrq_environment-6a65ce265f062718bc7b0518(b0af215b-5444-47e3-bf00-eae28355c361)
2026-08-01T14:27:18Z,[2026-08-01 14:27:18 +0000] [7] [ERROR] Reason: Worker failed to boot.
2026-08-01T14:27:18Z,[2026-08-01 14:27:18 +0000] [7] [ERROR] Shutting down: Master
2026-08-01T14:27:18Z,[2026-08-01 14:27:18 +0000] [7] [ERROR] Worker (pid:8) exited with code 3.
2026-08-01T14:27:18Z,[Zeabur] Pod/service-6a65ce52eca34b6c86efd852-57466694dc-sxfrq - BackOff: Back-off restarting failed container srv-1docai-ai in pod service-6a65ce52eca34b6c86efd852-57466694dc-sxfrq_environment-6a65ce265f062718bc7b0518(b0af215b-5444-47e3-bf00-eae28355c361)
2026-08-01T14:27:17Z,[2026-08-01 14:27:17 +0000] [8] [INFO] Worker exiting (pid: 8)
2026-08-01T14:27:17Z,No module named 'langdetect'
2026-08-01T14:27:17Z,ModuleNotFoundError: No module named 'langdetect'
2026-08-01T14:27:17Z,"    from langdetect import detect"
2026-08-01T14:27:17Z,"  File ""/app/multilingual.py"", line 15, in <module>"
2026-08-01T14:27:17Z,"    )"
2026-08-01T14:27:17Z,"    ...<5 lines>..."
2026-08-01T14:27:17Z,"    from multilingual import ("
2026-08-01T14:27:17Z,"  File ""/app/routes.py"", line 17, in <module>"
2026-08-01T14:27:17Z,"    from routes import api_bp"
2026-08-01T14:27:17Z,"  File ""/app/app.py"", line 4, in <module>"
2026-08-01T14:27:17Z,"  File ""<frozen importlib._bootstrap>"", line 488, in _call_with_frames_removed"
2026-08-01T14:27:17Z,"  File ""<frozen importlib._bootstrap_external>"", line 1023, in exec_module"
2026-08-01T14:27:17Z,"  File ""<frozen importlib._bootstrap>"", line 935, in _load_unlocked"
2026-08-01T14:27:17Z,"  File ""<frozen importlib._bootstrap>"", line 1331, in _find_and_load_unlocked"
2026-08-01T14:27:17Z,"  File ""<frozen importlib._bootstrap>"", line 1360, in _find_and_load"
2026-08-01T14:27:17Z,"  File ""<frozen importlib._bootstrap>"", line 1395, in _gcd_import"
2026-08-01T14:27:17Z,"           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"
2026-08-01T14:27:17Z,"    return _bootstrap._gcd_import(name[level:], package, level)"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/importlib/__init__.py"", line 88, in import_module"
2026-08-01T14:27:17Z,"    mod = importlib.import_module(module)"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/util.py"", line 411, in import_app"
2026-08-01T14:27:17Z,"           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^"
2026-08-01T14:27:17Z,"    return util.import_app(self.app_uri)"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/app/wsgiapp.py"", line 47, in load_wsgiapp"
2026-08-01T14:27:17Z,"           ~~~~~~~~~~~~~~~~~^^"
2026-08-01T14:27:17Z,"    return self.load_wsgiapp()"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/app/wsgiapp.py"", line 57, in load"
2026-08-01T14:27:17Z,"                    ~~~~~~~~~^^"
2026-08-01T14:27:17Z,"    self.callable = self.load()"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/app/base.py"", line 66, in wsgi"
2026-08-01T14:27:17Z,"                ~~~~~~~~~~~~~^^"
2026-08-01T14:27:17Z,"    self.wsgi = self.app.wsgi()"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/workers/base.py"", line 148, in load_wsgi"
2026-08-01T14:27:17Z,"    ~~~~~~~~~~~~~~^^"
2026-08-01T14:27:17Z,"    self.load_wsgi()"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/workers/base.py"", line 136, in init_process"
2026-08-01T14:27:17Z,"    ~~~~~~~~~~~~~~~~~~~^^"
2026-08-01T14:27:17Z,"    worker.init_process()"
2026-08-01T14:27:17Z,"  File ""/usr/local/lib/python3.13/site-packages/gunicorn/arbiter.py"", line 713, in spawn_worker"
2026-08-01T14:27:17Z,Traceback (most recent call last):
2026-08-01T14:27:17Z,[2026-08-01 14:27:17 +0000] [8] [ERROR] Exception in worker process
